,C,R33,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
105,16,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
106,66,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
107,7,81,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
108,63,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
109,81,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
110,18,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
111,0,73,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
112,12,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
113,3,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
114,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
115,46,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
116,14,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
117,19,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
118,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
119,3,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
120,18,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
121,52,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
122,24,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
123,75,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
124,72,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
125,39,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
126,4,34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
127,54,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
128,62,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
129,47,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
130,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131,3,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
132,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
133,35,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
134,10,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
135,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
136,9,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
137,29,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
138,10,68,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
139,69,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
140,71,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
141,11,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
142,24,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
143,7,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
144,15,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
145,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
146,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
147,24,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
148,1,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
149,22,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
150,37,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
151,52,34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
152,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
153,63,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
154,0,92,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
155,37,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
156,79,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
157,47,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
158,37,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
159,10,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
160,51,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
161,61,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
