,C,R50
347,37,61
348,35,11
349,3,63
350,32,10
351,14,86
352,47,46
353,6,94
354,1,34
355,7,51
356,78,12
357,25,32
358,8,92
359,0,94
360,0,1
361,89,11
362,3,96
363,4,96
364,40,9
365,55,45
366,14,87
367,55,42
368,1,54
369,18,19
370,3,60
371,4,61
372,58,42
373,0,100
374,21,78
375,0,1
376,0,1
377,23,77
378,21,78
379,29,71
380,3,68
381,68,28
382,0,94
383,0,57
384,0,100
385,15,58
386,1,99
387,14,76
388,25,75
389,40,17
390,4,33
391,0,28
392,9,85
393,0,99
394,11,69
395,28,66
396,76,8
397,6,94
398,45,49
399,72,22
400,4,94
401,25,57
402,72,25
403,45,47
404,5,80
405,4,76
406,26,71
407,19,81
408,15,41
409,21,63
410,10,90
411,6,85
412,52,33
413,5,89
414,0,84
415,28,60
416,45,37
417,44,51
418,9,92
419,44,55
420,0,75
421,61,38
422,9,63
423,6,94
424,0,88
425,5,84
426,20,79
427,18,64
428,18,62
429,16,76
430,49,0
431,19,77
432,38,47
433,0,94
434,24,49
435,58,29
436,1,82
437,44,56
438,7,72
439,0,79
440,19,57
441,0,77
442,29,48
443,0,64
444,8,78
445,27,45
446,38,63
447,38,54
448,0,86
449,1,69
450,44,37
451,31,39
452,57,17
453,53,28
454,60,23
455,22,68
456,53,25
457,26,52
458,3,73
459,36,56
460,47,33
461,17,83
462,56,44
463,82,2
464,53,31
465,5,87
466,0,100
467,35,35
468,2,83
469,30,41
470,56,15
471,8,62
472,0,62
473,0,78
474,14,65
475,68,13
476,7,68
477,14,84
478,49,32
479,0,78
480,25,72
481,41,31
482,3,81
483,0,73
484,14,83
485,20,55
486,1,2
487,17,53
488,7,63
489,11,69
490,5,76
491,4,74
492,77,13
493,3,82
494,2,7
495,54,26
496,1,98
497,38,5
498,16,72
499,17,62
500,2,79
501,34,29
502,77,18
503,20,68
504,36,47
505,19,67
506,29,41
507,4,74
508,5,74
509,0,73
510,0,100
511,0,75
512,0,91
513,14,66
514,86,1
515,16,69
516,2,76
517,17,74
518,37,49
519,4,74
520,19,42
521,53,26
522,7,85
523,1,0
524,35,62
525,45,35
526,30,48
527,14,77
528,4,74
529,0,99
530,52,31
531,8,86
532,84,11
533,0,8
534,3,92
535,3,29
536,26,65
537,62,26
538,3,83
539,13,82
540,3,73
541,19,81
542,1,23
543,48,0
544,36,31
545,39,52
546,36,57
