,R50,C,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
88,10,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
89,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
90,53,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
91,2,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
92,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
93,1,62,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
94,0,90,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
95,10,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
96,14,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
97,10,8,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
98,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
99,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
100,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
101,3,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
102,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
103,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
104,8,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
105,7,46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
106,18,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
107,37,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
108,1,78,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
109,24,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
110,19,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
111,18,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
112,33,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
113,31,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
114,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
115,17,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
116,2,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
117,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
118,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
119,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
120,1,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
121,4,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
122,0,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
123,12,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
124,4,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
125,9,5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
126,13,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
127,6,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
128,7,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
129,12,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
130,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
131,0,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
132,7,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
133,22,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
134,26,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
135,34,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
136,2,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
137,1,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
138,22,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
139,33,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
140,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
141,6,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
142,7,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
143,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
144,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
145,13,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
146,23,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
147,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
148,9,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
149,7,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
150,1,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
151,12,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
152,0,45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
153,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
154,32,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
155,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
156,16,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
157,46,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
