,C,R75,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR
142,2,0,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0
143,2,19,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0
144,0,1,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0
145,2,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
146,4,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
147,0,14,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0
148,1,7,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0
149,0,0,83,0,0,0,0,0,0,0,0,0,0,1,1,0,0
150,4,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0
151,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
152,16,1,16,0,0,0,0,0,0,0,1,1,0,1,1,0,0
153,0,43,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
154,0,37,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0
155,0,0,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0
156,25,1,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0
157,0,12,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
158,1,4,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
159,4,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
160,12,12,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
161,4,7,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
162,1,0,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0
163,1,0,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0
164,6,4,90,0,0,0,0,0,0,0,0,0,0,1,1,0,0
165,3,13,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0
166,9,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
167,1,1,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
168,5,1,94,0,0,0,0,0,0,0,0,0,0,1,1,0,0
169,25,12,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0
170,0,0,78,0,0,0,0,0,0,0,0,0,0,1,1,0,0
171,2,0,92,0,0,0,0,0,0,0,0,0,0,1,1,0,0
172,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
173,0,0,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0
174,0,4,85,0,0,0,0,0,0,0,0,0,0,1,1,0,0
175,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0
176,5,10,67,0,0,0,0,0,0,0,0,0,0,1,1,0,0
177,0,0,86,0,0,0,0,0,0,0,0,0,0,1,1,0,0
178,1,0,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0
179,0,29,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
180,0,6,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
181,0,0,42,0,0,0,0,0,0,0,1,1,0,0,0,0,0
182,0,0,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0
183,0,2,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0
184,3,0,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0
185,0,0,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0
186,35,1,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0
187,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
188,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0
189,4,12,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0
190,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
191,0,1,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0
192,0,2,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0
193,2,1,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0
194,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0
195,9,5,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
196,35,0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0
197,1,3,73,0,0,0,0,0,0,0,0,0,0,1,1,0,0
198,17,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0
199,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
200,0,0,98,0,0,0,0,0,0,0,0,0,0,1,1,0,0
201,2,5,86,0,0,0,0,0,0,0,0,0,0,1,1,0,0
202,0,0,93,0,0,0,0,0,0,0,0,0,0,1,1,0,0
203,0,0,49,0,0,0,0,0,0,0,1,1,0,0,0,0,0
204,0,0,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0
205,2,0,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0
206,3,30,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0
207,0,6,16,0,0,0,0,0,0,0,1,1,0,1,1,0,0
208,12,27,8,0,0,0,0,0,0,0,1,1,0,1,1,0,0
209,26,0,72,0,0,0,0,0,0,0,0,0,0,1,1,0,0
210,44,2,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0
211,2,20,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0
212,4,0,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0
213,24,25,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
214,4,2,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0
215,8,0,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0
216,26,2,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0
217,8,8,78,0,0,0,0,0,0,0,0,0,0,1,1,0,0
218,1,38,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
219,0,47,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
220,0,0,35,0,0,0,0,0,0,0,1,1,0,0,0,0,0
221,0,5,92,0,0,0,0,0,0,0,0,0,0,1,1,0,0
222,1,40,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0
223,0,0,35,0,0,0,0,0,0,0,1,1,0,0,0,0,0
