,C,R33
207,23,28
208,33,2
209,49,11
210,18,14
211,6,17
212,28,6
213,35,10
214,0,100
215,80,0
216,0,100
217,46,0
218,34,25
219,15,53
220,22,57
221,0,82
222,44,56
223,0,100
224,69,0
225,30,70
226,26,55
227,75,7
228,1,75
229,17,63
230,49,20
231,13,28
232,6,75
233,61,10
234,7,28
235,4,0
236,61,0
237,27,26
238,10,48
239,14,5
240,70,0
241,0,64
242,58,39
243,4,58
244,37,14
245,65,1
246,33,6
247,3,57
248,31,3
249,5,64
250,0,100
251,64,0
252,30,48
253,7,77
254,41,0
255,21,16
256,63,1
257,21,3
258,3,1
259,27,58
260,3,27
261,45,32
262,2,1
263,22,0
264,0,80
265,59,40
266,84,0
267,6,81
268,10,46
269,7,25
270,9,31
271,0,100
272,95,0
273,15,38
274,19,76
275,3,55
276,65,2
277,36,64
278,54,24
279,94,0
280,99,0
281,6,22
282,1,80
283,20,29
284,76,5
285,1,0
286,19,49
287,21,42
288,3,36
289,3,43
290,87,0
291,15,18
292,1,52
293,7,11
294,47,15
295,44,3
296,1,57
297,3,0
298,14,10
299,0,57
300,0,56
301,28,19
302,52,16
303,9,55
304,0,100
305,71,1
306,18,47
307,0,58
308,45,6
309,19,40
310,47,6
311,3,51
312,2,0
313,25,24
314,10,40
315,38,41
316,94,0
317,86,0
318,33,25
319,5,30
320,57,12
321,44,26
322,14,8
323,80,0
324,22,13
325,12,38
326,24,26
327,54,31
328,10,42
329,0,47
330,0,1
331,31,5
332,14,11
333,25,39
334,43,19
335,51,10
336,45,29
337,0,100
338,70,1
339,0,100
340,100,0
341,74,0
342,73,21
343,46,26
344,7,58
345,17,49
346,0,100
347,57,0
348,5,50
349,21,54
350,71,29
351,5,88
352,35,63
353,3,32
354,5,50
355,45,29
356,0,100
357,72,0
358,65,12
359,1,92
360,29,0
361,52,9
362,45,17
363,8,83
364,5,0
365,46,28
366,1,77
367,10,26
368,5,0
369,22,10
370,19,51
371,2,98
372,12,50
373,61,0
374,16,78
375,42,31
376,6,31
377,25,9
378,31,5
379,58,0
380,29,71
381,70,15
382,4,96
383,16,21
384,47,0
385,18,80
386,54,46
387,8,81
388,1,32
389,71,0
390,62,8
391,59,5
392,19,33
393,20,24
394,0,100
395,81,0
396,76,0
397,29,25
398,47,32
399,31,24
400,68,2
401,10,56
402,97,0
403,81,0
404,45,0
405,9,62
406,16,18
407,27,0
408,9,35
409,17,54
410,69,4
411,3,0
412,0,44
413,5,48
414,23,28
415,85,8
416,46,17
417,47,0
418,37,4
419,27,30
420,26,11
421,16,11
422,30,53
423,0,56
424,17,23
425,0,100
426,81,0
427,6,57
428,33,67
429,7,56
430,4,37
431,17,36
432,12,38
433,0,1
434,19,9
435,31,4
436,37,18
437,79,0
438,72,0
439,14,44
440,1,30
441,31,9
442,14,52
443,34,42
444,2,0
445,46,19
446,5,65
447,12,39
448,11,55
449,6,56
450,65,0
451,5,43
452,4,39
453,26,42
454,15,12
455,10,70
456,12,88
457,2,49
458,0,100
459,86,14
460,99,0
461,9,48
462,15,39
463,61,0
464,52,1
465,3,42
466,9,50
467,3,0
468,1,2
469,44,6
470,44,10
471,5,10
472,2,0
473,2,0
474,55,7
475,17,30
476,36,14
477,21,29
478,100,0
479,0,78
480,28,24
481,31,13
482,5,45
483,33,22
484,8,29
485,97,0
486,17,5
487,53,2
488,13,40
489,2,35
490,40,15
491,13,39
492,49,27
493,35,1
494,22,2
495,74,5
496,75,13
497,22,41
498,13,42
499,55,27
500,60,36
501,51,44
502,8,72
503,67,33
504,82,17
505,17,83
506,91,8
507,8,92
508,24,12
509,55,45
510,24,47
511,23,77
512,62,30
513,1,99
514,54,3
515,8,92
516,11,89
517,76,24
518,18,73
519,0,84
520,0,99
521,3,13
522,22,56
523,0,100
524,85,13
525,42,40
526,73,27
527,33,12
528,1,99
529,36,40
530,44,44
531,7,85
532,6,94
533,6,93
534,23,69
535,15,84
536,1,99
537,0,100
538,29,50
539,18,27
540,31,58
541,0,80
542,57,7
543,32,42
544,5,80
545,38,14
546,14,30
547,2,80
548,0,28
549,18,32
550,5,57
551,0,71
552,33,18
553,10,41
554,14,57
555,38,61
556,35,34
557,38,11
558,0,69
559,1,41
560,2,61
561,0,69
562,42,58
563,4,52
564,48,2
565,47,2
566,0,71
567,1,89
568,1,34
569,12,46
570,42,26
571,1,85
572,2,37
573,6,76
574,0,100
575,12,84
576,0,87
577,66,8
578,39,17
579,59,16
580,20,26
581,3,46
582,1,28
583,15,41
584,42,18
585,14,22
586,8,5
587,1,37
588,0,68
589,0,73
590,46,25
591,74,4
592,9,61
593,5,8
594,5,56
595,0,51
596,11,65
597,11,48
598,0,64
599,0,64
600,13,38
601,1,95
602,11,73
603,61,17
604,1,53
605,10,88
606,12,63
607,35,42
608,23,77
609,4,53
610,14,54
611,5,62
612,10,38
613,1,99
614,16,49
615,50,21
616,31,34
617,28,58
618,16,50
619,33,51
620,68,0
621,38,21
622,22,45
623,18,30
624,3,62
625,5,74
626,57,12
627,3,71
628,5,57
629,37,23
630,17,53
631,70,3
632,3,6
633,17,75
634,29,29
635,7,68
636,4,42
637,26,46
638,36,30
639,27,50
640,12,41
641,2,83
642,0,44
643,13,80
644,5,76
645,90,2
646,56,8
647,29,65
648,2,95
649,1,97
650,42,44
651,6,57
652,0,55
653,47,40
654,34,15
655,11,4
656,4,63
657,0,57
658,7,58
659,44,27
660,10,55
661,3,65
662,1,99
663,54,0
664,47,53
665,28,57
666,30,32
667,57,41
668,25,14
669,39,19
670,38,14
671,19,30
672,0,32
673,1,83
674,0,53
675,11,44
676,2,43
677,2,66
678,10,45
679,30,46
680,63,6
681,45,8
682,2,98
683,0,68
684,0,83
685,43,28
686,22,50
687,3,33
688,1,42
689,1,45
690,2,60
691,38,47
692,1,99
693,1,72
694,62,32
695,0,54
696,62,8
697,48,52
698,52,27
699,24,66
700,53,25
701,1,91
702,0,62
703,0,77
704,2,13
705,9,84
706,3,77
707,0,68
