,F,C,R50
832,0,1,13
833,0,1,0
834,0,22,0
835,0,20,2
836,0,18,3
837,0,47,4
838,0,22,8
839,0,8,3
840,0,0,3
841,0,30,0
842,0,43,0
843,0,36,5
844,0,20,0
845,0,18,1
846,0,10,0
847,0,20,1
848,0,49,3
849,0,43,0
850,0,59,7
851,0,55,1
852,0,31,1
853,0,38,0
854,0,42,1
855,0,17,0
856,0,2,11
857,0,47,0
858,0,48,0
859,0,12,1
860,1,39,0
861,0,21,0
862,0,14,1
863,0,16,0
864,0,17,5
865,0,37,0
866,0,26,0
867,0,39,2
868,0,9,17
869,0,13,4
870,0,22,0
871,0,44,0
872,0,28,3
873,0,5,17
874,0,48,1
875,0,42,0
876,0,14,4
877,0,22,10
878,0,38,0
879,0,21,1
880,0,3,0
881,0,68,0
882,0,20,12
883,0,27,0
884,0,27,2
885,0,44,0
886,0,52,0
887,0,12,0
888,0,10,0
889,0,31,0
890,0,40,0
891,0,58,0
892,0,20,0
893,0,9,7
894,0,32,3
895,1,4,0
896,0,4,0
897,0,0,1
898,0,10,0
899,0,38,2
900,0,51,0
901,0,25,3
902,0,89,11
903,0,14,9
904,0,0,20
905,0,11,1
906,0,6,3
907,0,6,11
908,0,99,1
909,0,21,3
910,0,9,3
911,0,0,1
912,0,11,0
913,0,0,12
914,0,6,0
915,0,0,2
916,0,9,5
917,0,0,2
918,0,1,2
919,0,63,14
920,0,88,12
921,0,2,1
922,0,1,5
923,0,74,6
924,0,1,3
925,0,64,8
926,0,22,2
927,0,0,15
928,0,15,8
929,0,25,2
930,0,87,3
931,0,17,1
932,0,2,0
933,0,1,3
934,0,6,8
935,0,9,10
936,0,18,5
937,0,5,1
938,0,98,3
939,0,100,0
940,0,9,1
941,0,1,0
942,0,89,0
943,0,33,1
944,0,61,0
945,0,82,0
946,0,44,0
947,0,39,0
948,0,73,0
949,0,68,1
950,0,46,1
951,1,52,0
952,0,29,4
953,0,64,0
954,0,8,0
955,0,24,0
956,0,14,0
957,0,100,0
958,0,76,3
959,0,1,0
960,0,3,9
961,0,79,0
962,0,71,0
963,0,99,0
964,1,67,0
965,0,52,0
966,0,50,8
967,0,59,0
968,1,55,1
969,0,15,16
970,0,12,0
971,1,1,2
972,0,72,0
973,1,14,0
974,0,49,0
975,0,86,0
976,0,78,0
977,0,76,0
978,0,79,3
979,1,55,0
980,0,63,0
981,0,63,0
982,0,63,0
983,1,71,0
984,0,88,0
985,0,100,0
986,0,99,0
987,0,72,0
988,0,63,0
989,0,100,0
990,0,6,1
991,0,15,1
992,0,1,1
993,2,64,1
994,1,12,0
995,0,3,2
996,0,92,0
997,0,87,0
998,0,17,8
999,0,5,7
1000,1,46,0
1001,0,63,1
1002,0,54,1
1003,5,62,1
1004,0,86,0
1005,0,85,0
1006,0,91,0
1007,0,51,1
1008,1,50,0
1009,0,67,0
1010,0,68,0
1011,0,57,0
1012,0,74,0
1013,0,61,0
1014,0,100,0
1015,0,100,0
1016,0,77,0
1017,0,100,0
1018,0,94,0
1019,0,47,0
1020,0,44,5
1021,0,25,0
1022,0,0,1
1023,0,56,0
1024,0,19,11
1025,0,39,0
1026,0,2,1
1027,0,12,0
1028,0,52,0
1029,1,20,0
1030,0,55,0
1031,0,41,0
1032,0,48,1
1033,0,70,1
1034,2,45,1
1035,0,99,1
1036,0,73,1
1037,0,97,0
1038,0,89,0
1039,0,88,0
1040,0,69,0
1041,0,63,0
1042,1,99,0
1043,1,59,0
1044,0,58,0
1045,0,59,0
1046,0,62,1
1047,2,68,0
1048,0,40,0
1049,0,77,0
1050,2,6,1
1051,1,50,0
1052,0,41,1
1053,9,3,0
1054,6,40,4
1055,1,9,10
1056,0,12,18
1057,13,0,1
1058,5,43,1
1059,3,6,9
1060,2,7,14
1061,0,19,0
1062,1,30,0
1063,10,46,3
1064,1,46,4
1065,0,30,0
1066,0,1,0
1067,0,31,0
1068,0,11,12
1069,11,20,9
1070,4,32,2
1071,0,40,0
1072,0,33,0
1073,1,0,0
1074,1,23,1
1075,2,11,1
1076,1,1,1
