,R50,C,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
106,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
107,4,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
108,3,0,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
109,0,0,45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
110,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
111,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
112,3,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
113,11,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
114,0,0,90,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
115,1,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
116,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
117,2,0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
118,1,0,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
119,8,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
120,0,0,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
121,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
122,0,0,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
123,0,0,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
124,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
125,0,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
126,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
127,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
128,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
129,1,0,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
130,0,0,46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
131,1,0,68,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
132,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
133,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
134,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
135,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
136,0,0,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
137,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
138,0,2,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
139,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
140,1,0,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
141,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
142,2,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
143,0,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
144,0,0,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
145,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
146,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
147,2,0,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
148,2,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
149,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
150,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
151,0,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
152,0,0,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
153,7,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
154,0,0,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
155,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
156,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
157,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
158,2,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
159,0,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
160,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
161,0,1,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
162,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
163,1,0,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
164,14,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
165,0,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
166,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
167,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
168,0,0,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
169,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
170,0,0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
171,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
172,0,0,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
173,4,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
174,0,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
175,0,6,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
176,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
177,0,0,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
178,2,0,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
179,0,0,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
180,0,0,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
181,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
182,13,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
183,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
184,0,0,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
185,2,0,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
186,0,0,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
187,3,0,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
188,9,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
189,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
190,2,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
191,6,0,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
192,0,0,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
193,0,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
194,0,0,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
195,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
196,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
197,3,0,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
198,6,0,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
199,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
200,0,0,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
201,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
202,0,0,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
204,0,0,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
205,2,1,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
206,1,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
207,0,0,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
208,2,0,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
209,0,0,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
210,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
211,0,0,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
212,5,0,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
213,0,0,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
214,6,0,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
215,0,0,78,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
216,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
217,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
218,6,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
219,11,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
220,0,0,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
221,0,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
222,0,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
223,0,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
224,1,0,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
225,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
226,0,2,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
227,1,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
228,2,1,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
229,1,0,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
230,0,1,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
231,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
232,0,5,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
233,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
234,0,0,45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
235,0,1,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
236,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
237,0,0,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
238,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
239,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
240,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
241,0,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
