,F,C,R50
596,1,75,0
597,0,59,0
598,0,64,0
599,0,64,0
600,0,51,0
601,0,96,0
602,0,84,0
603,0,78,0
604,0,54,0
605,1,97,0
606,1,74,0
607,0,77,0
608,0,100,0
609,0,57,0
610,0,68,0
611,0,67,0
612,0,48,0
613,0,100,0
614,0,65,0
615,0,71,0
616,1,64,0
617,0,86,0
618,0,66,0
619,0,84,0
620,0,68,0
621,0,59,0
622,0,67,0
623,0,48,0
624,0,65,0
625,0,79,0
626,0,69,0
627,0,74,0
628,0,62,0
629,0,60,0
630,0,70,0
631,0,73,0
632,0,8,1
633,0,92,0
634,0,58,0
635,0,75,0
636,0,46,0
637,0,72,0
638,0,66,0
639,0,77,0
640,0,53,0
641,0,85,0
642,0,44,0
643,0,93,0
644,0,81,0
645,0,92,0
646,0,64,0
647,0,94,0
648,0,97,0
649,2,96,0
650,0,86,0
651,0,63,0
652,0,55,0
653,0,87,0
654,0,49,0
655,0,15,0
656,0,67,0
657,0,57,0
658,0,65,0
659,0,71,0
660,1,64,0
661,1,66,1
662,0,100,0
663,0,54,0
664,0,100,0
665,1,84,0
666,4,58,0
667,9,89,0
668,0,39,0
669,0,58,0
670,0,52,0
671,0,49,0
672,0,32,0
673,0,84,0
674,0,53,0
675,0,55,0
676,0,45,0
677,0,68,0
678,0,55,0
679,0,76,0
680,0,69,0
681,0,53,0
682,0,100,0
683,1,67,0
684,0,83,0
685,0,71,0
686,0,72,0
687,0,36,0
688,0,43,0
689,0,46,0
690,0,62,0
691,0,85,0
692,0,100,0
693,0,73,0
694,0,94,0
695,0,54,0
696,0,70,0
697,0,100,0
698,0,79,0
699,0,90,0
700,0,78,0
701,0,92,0
702,0,62,0
703,0,77,0
704,0,15,0
705,0,93,0
706,0,80,0
707,0,68,0
708,0,49,0
709,0,72,0
710,0,59,0
711,0,18,0
712,0,20,0
713,2,56,0
714,0,75,0
715,0,71,0
716,0,70,0
717,0,87,0
718,0,50,0
719,0,28,0
720,0,18,0
721,0,92,0
722,0,100,0
723,0,75,0
724,3,85,0
725,0,100,0
726,0,40,0
727,1,61,0
728,0,43,0
729,1,79,0
730,0,80,0
731,3,97,0
732,1,93,0
733,0,100,0
734,0,39,0
735,1,82,0
736,1,91,0
737,0,94,0
738,19,79,0
739,0,65,0
740,0,100,0
741,0,92,0
742,0,100,0
743,0,36,0
744,0,97,0
745,2,93,0
746,0,97,0
747,0,43,0
748,0,100,0
749,0,100,0
750,1,92,0
751,0,65,0
752,1,85,0
753,0,100,0
754,0,92,0
755,0,85,0
756,0,20,0
