,C,R50
714,14,3
715,4,38
716,25,19
717,3,10
718,10,90
719,0,31
720,0,33
721,2,8
722,0,28
723,2,0
724,2,19
725,0,21
726,0,10
727,1,1
728,1,8
729,0,19
730,7,16
731,0,17
732,3,3
733,0,10
734,1,3
735,3,0
736,1,5
737,0,2
738,0,18
739,0,100
740,0,100
741,1,15
742,2,2
743,0,28
744,2,3
745,0,100
746,0,100
747,3,2
748,0,22
749,0,3
750,0,3
751,1,1
752,0,15
753,0,40
754,0,14
755,1,11
756,21,0
757,3,4
758,4,2
759,0,35
760,17,5
761,6,11
762,0,31
763,12,16
764,1,7
765,1,1
766,0,45
767,4,30
768,14,35
769,1,10
770,0,48
771,0,5
772,1,10
773,0,48
774,10,10
775,5,14
776,0,11
777,8,6
778,0,5
779,5,8
780,0,45
781,2,18
782,15,12
783,1,30
784,19,7
785,0,11
786,10,19
787,7,6
788,0,35
789,1,46
790,1,30
791,10,15
792,0,36
793,2,3
794,37,8
795,0,43
796,0,38
797,1,1
798,0,39
799,13,35
800,0,54
801,9,32
802,11,1
803,11,16
804,1,17
805,2,18
806,0,14
807,0,39
808,0,57
809,24,24
810,0,33
811,0,17
812,1,40
813,3,5
814,0,34
815,0,40
816,10,25
817,0,3
818,7,43
819,7,16
820,12,39
821,7,23
822,24,37
823,8,0
824,4,1
825,13,4
826,0,38
827,7,25
828,17,10
829,2,17
830,0,20
831,0,16
832,1,13
833,1,0
834,0,22
835,6,16
836,1,19
837,18,33
838,0,30
839,4,6
840,1,2
841,22,8
842,35,8
843,22,19
844,0,20
845,3,16
846,1,10
847,6,15
848,0,52
849,2,41
850,4,62
851,52,4
852,0,32
853,8,30
854,17,26
855,3,14
856,13,0
857,0,47
858,41,7
859,12,1
860,1,39
861,0,21
862,6,9
863,7,9
864,0,22
865,23,14
866,0,26
867,10,31
868,0,26
869,0,17
870,0,22
871,0,44
872,0,31
873,2,20
874,5,44
875,1,41
876,2,16
877,2,30
878,8,30
879,11,11
880,0,3
881,27,41
882,2,30
883,0,27
884,7,22
885,18,26
886,3,49
887,0,12
888,1,9
889,2,29
890,20,20
891,3,55
892,4,16
893,5,11
894,3,32
895,2,3
896,2,2
897,0,1
898,5,5
899,20,20
900,4,47
901,25,4
902,86,14
903,4,19
904,0,20
905,5,7
906,0,9
907,0,17
908,0,100
909,3,21
910,2,10
911,1,0
912,0,11
913,0,12
914,0,6
915,0,2
916,0,14
917,0,2
918,1,2
919,0,77
920,0,100
921,0,3
922,1,5
923,0,80
924,0,4
925,6,66
926,3,21
927,0,15
928,4,19
929,0,27
930,4,86
931,0,18
932,1,1
933,1,3
934,1,13
935,0,19
936,0,23
937,0,6
938,0,100
939,0,100
940,1,9
941,0,1
942,0,89
943,12,22
944,57,4
945,78,4
946,44,0
947,38,1
948,73,0
949,68,1
950,47,0
951,36,17
952,11,22
953,63,1
954,1,7
955,2,22
956,1,13
957,99,1
958,79,0
959,0,1
960,3,9
961,15,64
962,71,0
963,91,8
964,67,1
965,49,3
966,30,28
967,31,28
968,30,27
969,19,12
970,5,7
971,2,2
972,63,9
973,11,5
974,48,1
975,83,3
976,53,25
977,11,65
978,80,2
979,51,5
980,26,37
981,54,9
982,55,8
983,64,8
984,88,0
985,63,37
986,97,2
987,70,2
988,34,29
989,99,1
990,7,0
991,14,2
992,0,2
993,62,5
994,12,1
995,3,2
996,84,8
997,71,16
998,15,10
999,12,0
1000,47,0
1001,63,1
1002,0,55
1003,68,0
1004,86,0
1005,75,10
1006,90,1
1007,52,0
1008,51,0
1009,57,10
1010,25,43
1011,36,21
1012,65,9
1013,61,0
1014,86,14
1015,93,7
1016,71,6
1017,96,4
1018,85,9
1019,39,8
1020,48,1
1021,8,17
1022,1,0
1023,55,1
1024,24,6
1025,39,0
1026,1,2
1027,5,7
1028,51,1
1029,21,0
1030,48,7
1031,0,41
1032,13,36
1033,58,13
1034,18,30
1035,100,0
1036,74,0
1037,56,41
1038,89,0
1039,82,6
1040,57,12
1041,60,3
1042,100,0
1043,60,0
1044,57,1
1045,43,16
1046,52,11
1047,56,14
1048,38,2
1049,71,6
1050,5,4
1051,49,2
1052,33,9
1053,3,9
1054,33,17
1055,12,8
1056,20,11
1057,5,9
1058,48,1
1059,6,12
1060,8,15
1061,14,5
1062,15,16
1063,59,0
1064,40,11
1065,0,30
1066,1,0
1067,2,29
1068,7,16
1069,15,25
1070,34,4
1071,34,6
1072,30,3
1073,0,1
1074,20,5
1075,7,7
1076,2,1
1077,22,10
1078,6,0
1079,33,3
1080,1,19
1081,8,0
1082,3,0
1083,43,6
1084,0,9
1085,7,13
1086,23,8
1087,1,2
1088,28,15
1089,25,5
1090,2,0
1091,2,9
1092,16,0
1093,2,1
1094,34,4
1095,58,3
1096,31,0
1097,2,9
1098,30,3
1099,17,30
1100,49,5
1101,3,32
1102,1,14
1103,7,34
1104,36,1
1105,35,11
1106,2,10
1107,27,10
1108,13,7
1109,10,27
1110,0,11
1111,16,13
1112,6,1
1113,24,10
1114,4,3
1115,5,18
1116,3,4
1117,5,4
1118,46,0
1119,1,2
1120,9,12
1121,2,2
1122,6,5
1123,6,35
1124,14,10
1125,2,0
1126,0,9
1127,42,1
1128,0,25
1129,14,6
1130,17,2
1131,10,11
1132,8,26
1133,14,13
1134,2,10
1135,5,50
1136,81,0
1137,18,24
1138,23,38
1139,6,0
1140,2,18
1141,55,1
1142,40,6
1143,1,30
1144,22,4
1145,2,16
1146,44,1
1147,66,6
