,C,R50
936,0,92
937,5,63
938,0,97
939,0,78
940,6,4
941,28,42
942,0,72
943,9,73
944,0,73
945,0,78
946,2,91
947,1,65
948,0,93
949,5,43
950,9,3
951,0,82
952,0,65
953,0,73
954,3,94
955,1,92
956,0,69
957,5,57
958,49,30
959,0,98
960,57,5
961,11,71
962,61,33
963,18,57
964,0,77
965,16,62
966,0,2
967,1,71
968,82,8
969,7,93
970,70,16
971,23,66
972,0,52
973,0,99
974,2,70
975,61,10
976,20,59
977,10,79
978,7,67
979,24,34
980,26,51
981,0,65
982,0,4
983,0,38
984,1,72
985,14,78
986,0,80
987,1,84
988,0,15
989,0,82
990,1,76
991,0,3
992,12,23
993,13,58
994,1,83
995,36,18
996,10,5
997,10,60
998,0,94
999,33,14
1000,0,77
1001,0,100
1002,0,77
1003,0,85
1004,1,90
1005,4,78
1006,6,85
1007,0,70
1008,1,10
1009,0,21
1010,1,60
1011,0,19
1012,2,78
1013,11,61
1014,1,66
1015,0,77
1016,36,46
1017,0,69
1018,1,74
1019,1,65
1020,0,85
1021,0,85
1022,0,78
1023,25,42
1024,6,78
1025,0,83
1026,9,2
1027,0,39
1028,0,40
1029,2,80
1030,5,73
1031,10,75
1032,0,73
1033,67,6
1034,20,55
1035,4,67
1036,0,43
1037,10,65
1038,43,30
1039,0,88
1040,9,48
1041,28,42
1042,8,63
1043,8,74
1044,0,47
1045,0,81
1046,1,97
1047,1,87
1048,65,18
1049,0,73
1050,0,81
1051,0,77
1052,0,30
1053,0,18
1054,5,76
1055,2,86
1056,1,81
1057,0,64
1058,11,58
1059,9,71
1060,0,84
1061,0,18
1062,7,76
1063,8,63
1064,42,39
1065,26,62
1066,0,42
1067,48,26
1068,11,66
1069,0,83
1070,19,64
1071,1,67
1072,10,67
1073,20,62
1074,35,43
1075,0,86
1076,0,71
1077,19,57
1078,0,8
1079,0,30
1080,20,67
1081,0,85
1082,5,60
1083,12,77
1084,7,63
1085,52,26
1086,79,6
1087,0,41
1088,0,35
1089,1,99
1090,28,58
1091,47,22
1092,3,84
1093,92,5
1094,1,67
1095,1,0
1096,68,1
1097,0,42
1098,0,80
1099,11,63
1100,14,62
1101,19,61
1102,1,79
1103,2,75
1104,1,84
1105,0,49
1106,0,34
1107,6,67
1108,0,84
1109,44,29
1110,3,68
1111,14,67
1112,31,44
1113,47,22
1114,6,0
1115,0,1
1116,33,43
1117,8,73
1118,83,3
1119,2,4
1120,2,39
1121,48,4
1122,0,66
1123,49,39
1124,21,0
1125,12,12
1126,2,77
1127,50,31
1128,14,65
1129,6,3
1130,36,0
1131,15,1
1132,4,0
1133,11,76
1134,76,5
1135,1,79
1136,0,76
1137,3,72
1138,49,24
1139,50,33
1140,32,62
1141,62,10
1142,29,0
1143,24,64
1144,73,6
1145,32,42
1146,6,0
1147,26,43
1148,0,88
1149,8,87
1150,40,35
1151,27,27
1152,63,1
1153,18,48
1154,1,61
1155,46,20
1156,52,32
1157,11,58
1158,49,39
1159,0,30
1160,2,1
1161,18,46
1162,78,6
1163,51,45
1164,61,19
1165,1,68
1166,28,48
1167,30,65
1168,0,78
1169,91,2
1170,29,0
1171,41,42
1172,40,37
1173,3,64
1174,2,2
1175,0,13
1176,1,1
1177,42,0
1178,6,1
1179,78,0
1180,54,0
1181,53,0
1182,55,1
1183,43,15
1184,55,0
1185,69,0
1186,20,33
1187,49,40
1188,55,20
