,F,C,R50
998,63,0,0
999,82,0,0
1000,26,0,0
1001,91,0,0
1002,43,0,0
1003,26,0,0
1004,46,0,0
1005,49,0,0
1006,18,0,3
1007,7,0,0
1008,73,0,0
1009,4,0,0
1010,79,0,0
1011,42,0,0
1012,29,0,5
1013,28,0,2
1014,60,0,2
1015,24,0,0
1016,2,0,0
1017,86,0,0
1018,100,0,0
1019,91,0,0
1020,0,0,6
1021,0,0,18
1022,0,0,34
1023,0,0,25
1024,0,0,26
1025,0,0,23
1026,0,0,1
1027,0,0,1
1028,0,0,20
1029,0,0,19
1030,0,0,6
1031,0,0,4
1032,0,0,3
1033,0,0,5
1034,0,0,49
1035,0,0,2
1036,0,0,57
1037,0,0,80
1038,0,0,24
1039,0,0,4
1040,5,0,0
1041,1,0,72
1042,0,0,18
1043,0,0,63
1044,2,0,67
1045,4,0,23
1046,1,0,49
1047,0,0,41
1048,12,0,0
1049,1,0,2
1050,3,0,25
1051,3,0,0
1052,9,0,0
1053,12,0,0
1054,0,0,72
1055,0,0,16
1056,0,0,20
1057,0,35,0
1058,0,0,5
1059,0,0,19
1060,10,0,2
1061,0,10,0
1062,0,0,63
1063,0,0,78
1064,3,0,6
1065,29,0,0
1066,0,0,39
1067,0,0,59
1068,0,0,3
1069,0,0,31
1070,0,0,41
1071,0,0,30
1072,0,0,47
1073,0,0,19
1074,0,0,20
1075,0,0,31
1076,0,0,51
1077,5,0,1
1078,31,0,0
1079,4,0,0
1080,0,0,11
1081,2,0,39
1082,0,0,41
1083,0,0,70
1084,0,0,1
1085,0,0,41
1086,0,1,17
1087,0,0,5
1088,2,0,7
1089,6,0,0
1090,2,0,56
1091,0,0,63
1092,2,0,0
1093,5,0,0
1094,1,0,0
1095,25,0,0
1096,2,0,0
1097,27,0,0
1098,24,0,0
1099,54,0,0
1100,1,0,0
1101,2,0,0
1102,1,0,0
1103,6,0,0
1104,76,0,0
1105,45,0,0
1106,42,0,0
1107,21,0,0
1108,8,0,0
1109,32,0,0
1110,58,0,0
1111,1,0,0
1112,87,0,0
1113,82,0,0
1114,1,0,0
1115,60,0,0
1116,75,0,0
1117,57,0,0
1118,73,0,0
1119,35,0,0
1120,57,0,0
1121,87,0,0
1122,47,0,1
1123,90,0,0
1124,49,0,0
1125,18,0,2
1126,50,0,0
1127,67,0,1
1128,67,0,0
1129,44,0,4
1130,61,0,0
1131,2,0,0
1132,73,0,0
1133,66,0,0
1134,47,0,1
1135,71,0,0
1136,69,0,0
1137,66,0,0
1138,49,0,0
1139,51,0,0
1140,75,0,0
1141,28,0,11
1142,38,0,0
1143,9,0,6
1144,75,0,3
1145,62,0,0
1146,39,0,5
1147,86,0,0
1148,51,0,0
1149,95,0,0
1150,51,0,0
1151,36,0,0
1152,74,0,0
1153,91,0,0
1154,72,0,0
1155,32,0,0
1156,70,0,0
1157,43,0,0
1158,62,0,0
1159,24,0,0
1160,70,0,0
1161,71,0,0
1162,5,0,0
1163,19,0,2
1164,64,0,0
1165,71,0,0
1166,57,0,0
1167,95,0,0
1168,44,0,0
1169,41,0,0
1170,47,0,1
1171,32,0,0
1172,97,0,0
1173,67,0,0
1174,42,0,0
1175,55,0,0
1176,2,0,0
1177,82,0,0
1178,72,0,0
1179,86,0,0
1180,56,0,0
1181,82,0,0
1182,76,0,0
1183,48,0,0
1184,0,0,5
1185,58,0,0
1186,30,0,0
1187,73,0,0
1188,39,0,0
1189,80,0,1
1190,92,0,0
1191,15,0,3
1192,49,0,0
1193,71,0,0
1194,78,0,0
1195,67,0,0
1196,37,0,0
1197,67,0,0
1198,100,0,0
1199,57,0,0
1200,88,0,2
1201,59,0,0
1202,90,0,0
1203,80,0,0
1204,0,0,6
1205,0,0,1
1206,0,0,42
1207,0,0,2
1208,0,0,40
1209,0,0,26
1210,0,0,14
1211,0,0,51
1212,0,0,67
1213,0,0,59
1214,6,0,0
1215,1,0,1
1216,87,0,0
1217,2,0,0
1218,1,0,0
1219,25,0,0
1220,4,0,0
1221,36,0,1
1222,80,0,0
1223,14,0,0
1224,41,0,0
1225,28,0,0
1226,74,0,0
1227,81,0,0
1228,1,0,0
1229,86,0,0
1230,93,0,0
1231,37,0,0
1232,52,0,0
1233,44,0,0
1234,85,0,6
1235,68,0,0
1236,29,0,0
1237,46,0,0
1238,0,0,11
1239,62,0,0
1240,47,0,0
1241,50,0,0
1242,69,0,1
1243,89,0,0
1244,63,0,0
1245,43,0,4
1246,72,0,0
1247,56,0,0
1248,80,0,0
1249,7,0,0
1250,35,0,0
1251,48,0,4
1252,2,0,0
1253,65,0,0
1254,61,0,0
1255,1,0,0
1256,36,0,0
1257,38,0,0
1258,53,0,0
1259,38,0,0
1260,44,0,0
1261,47,0,0
1262,46,0,0
1263,58,0,0
1264,70,0,0
1265,0,0,62
1266,0,0,25
1267,0,0,16
1268,0,0,59
1269,0,0,42
1270,0,0,30
1271,0,0,60
1272,0,0,53
1273,0,0,51
1274,0,0,19
1275,0,0,66
1276,0,0,19
1277,0,0,36
1278,0,0,50
1279,0,0,2
1280,0,0,27
1281,0,0,30
1282,0,0,40
1283,0,23,0
1284,1,0,0
1285,1,0,0
1286,1,0,0
1287,0,14,0
1288,0,1,2
1289,0,1,1
1290,0,1,0
1291,0,3,1
1292,0,28,0
1293,10,28,0
1294,5,22,0
1295,26,27,0
1296,39,3,1
1297,56,9,0
1298,3,1,10
1299,72,0,0
1300,33,14,7
1301,37,3,10
1302,1,0,0
1303,55,10,2
1304,8,63,0
1305,3,28,0
1306,60,10,0
1307,17,35,1
1308,10,2,8
1309,31,30,15
1310,37,1,0
1311,19,1,0
1312,34,20,0
1313,74,0,1
1314,37,0,0
1315,15,3,21
1316,14,18,0
1317,41,3,0
1318,49,8,3
1319,17,5,15
1320,32,3,2
1321,40,0,0
1322,43,7,1
1323,91,0,0
1324,20,0,0
1325,65,0,0
1326,2,0,0
1327,10,0,0
1328,9,0,0
1329,0,0,44
1330,0,0,33
1331,9,0,0
1332,0,0,6
1333,0,0,46
1334,0,0,1
1335,0,0,47
1336,0,0,4
1337,1,0,5
1338,2,0,0
1339,0,0,3
1340,2,0,2
1341,0,0,6
1342,0,0,16
1343,0,0,36
1344,0,0,3
1345,0,0,14
1346,0,0,1
1347,0,0,34
1348,1,0,0
1349,6,0,5
1350,0,0,34
1351,0,0,4
1352,17,0,0
1353,12,0,0
1354,5,0,0
1355,2,0,0
1356,2,0,0
1357,1,0,0
1358,0,0,38
1359,0,0,10
1360,0,0,48
1361,0,0,80
1362,0,0,31
1363,1,0,0
1364,0,1,0
1365,0,0,1
1366,0,0,20
1367,46,0,0
1368,21,0,0
1369,35,0,0
1370,1,0,0
1371,7,0,0
1372,9,0,1
1373,1,0,32
1374,2,0,42
1375,0,0,12
1376,1,0,39
1377,0,0,38
1378,0,0,38
1379,0,0,38
1380,0,0,4
1381,0,0,1
1382,0,0,22
1383,24,0,0
1384,1,0,0
1385,2,0,0
1386,61,0,0
1387,0,0,1
1388,0,0,1
1389,6,0,0
1390,25,0,0
1391,1,0,0
1392,1,0,2
1393,2,0,0
1394,94,0,0
1395,55,0,0
1396,3,0,1
1397,56,0,2
1398,99,0,0
1399,100,0,0
1400,1,0,0
1401,100,0,0
1402,90,0,0
1403,52,0,0
1404,86,0,0
1405,83,0,0
1406,73,0,0
1407,37,0,0
1408,21,0,0
1409,56,0,1
1410,50,0,0
1411,15,0,0
1412,36,0,0
1413,45,0,1
1414,84,0,0
1415,63,0,0
1416,23,0,13
1417,65,0,0
1418,18,0,1
1419,55,0,0
1420,0,0,1
1421,20,0,0
1422,4,0,1
1423,43,0,0
1424,27,0,0
1425,3,0,0
1426,99,0,0
1427,57,0,0
1428,53,0,2
1429,37,0,0
1430,60,0,0
1431,17,0,10
