,C,R50,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
181,0,0,73,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
182,0,0,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
183,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
184,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
185,59,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
186,70,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
187,38,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
188,44,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
189,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
190,90,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
191,80,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
192,0,0,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
193,2,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
194,10,0,34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
195,0,0,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
196,96,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
197,61,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
198,0,0,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
199,0,0,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
200,0,0,72,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
201,0,0,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
202,54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
203,1,0,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
204,14,0,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
205,0,0,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
206,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
207,50,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
208,0,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
209,42,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
210,19,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
211,22,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
212,33,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
213,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
214,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
215,80,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
216,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
217,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
218,0,0,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
219,0,0,68,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
220,0,0,79,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
221,0,0,82,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
222,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
223,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
224,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
225,4,0,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
226,0,0,81,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
227,0,0,82,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
228,0,0,76,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
229,0,0,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
230,0,0,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
231,2,0,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
232,0,0,81,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
233,4,0,67,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
234,0,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
235,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
236,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
237,0,0,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
238,0,0,58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
239,0,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
