,F,C,R75
800,0,27,2
801,0,2,0
802,0,0,12
803,0,0,39
804,0,0,14
805,0,0,41
806,0,0,1
807,0,1,0
808,0,0,16
809,0,0,30
810,0,4,32
811,0,0,2
812,0,0,17
813,0,2,5
814,0,31,29
815,0,0,47
816,0,5,24
817,1,0,45
818,0,1,9
819,0,0,3
820,0,1,25
821,0,38,31
822,0,0,92
823,0,8,40
824,0,0,50
825,0,1,12
826,0,9,0
827,0,0,55
828,0,32,0
829,0,0,70
830,0,0,63
831,0,0,89
832,0,1,9
833,0,5,76
834,0,39,1
835,0,0,3
836,0,3,10
837,0,57,5
838,0,0,41
839,0,0,73
840,0,11,1
841,0,2,63
842,1,0,4
843,0,1,93
844,0,79,2
845,0,0,12
846,0,12,0
847,0,0,2
848,0,0,2
849,0,7,46
850,0,0,1
851,0,22,8
852,0,0,32
853,0,0,52
854,0,0,12
855,0,8,24
856,0,2,25
857,0,1,20
858,0,1,38
859,0,0,3
860,0,0,10
861,0,0,67
862,0,13,22
863,0,3,45
864,0,1,1
865,0,3,25
866,0,6,22
867,0,1,1
868,1,3,18
869,0,0,20
870,0,0,89
871,0,2,62
872,0,0,2
873,0,12,3
874,0,1,38
875,0,9,1
876,0,2,0
877,0,0,2
878,0,0,13
879,0,2,45
880,0,62,2
881,0,1,7
882,0,0,68
883,0,68,0
884,0,18,9
885,0,6,48
886,0,3,4
887,0,14,0
888,0,10,42
889,0,2,2
890,1,2,92
891,0,5,13
892,0,2,2
893,0,3,64
894,0,16,20
895,0,0,1
896,0,1,63
897,0,0,50
898,0,3,79
899,0,3,12
900,0,0,38
901,0,0,8
902,0,0,69
903,0,0,2
904,0,5,3
905,0,6,61
906,0,5,19
907,0,1,9
908,0,22,39
909,1,66,14
910,0,4,18
911,0,1,57
912,0,12,56
913,1,10,21
914,1,1,2
915,0,35,14
916,0,1,10
917,0,0,4
918,0,4,19
919,0,0,72
920,0,10,33
921,0,0,29
922,0,1,69
923,0,0,58
924,0,18,20
925,1,53,31
926,1,21,8
927,0,0,58
928,0,22,42
929,0,0,12
930,0,2,68
931,0,0,9
932,0,2,74
933,0,7,54
934,0,3,82
935,0,1,80
936,0,0,84
937,0,19,61
938,0,1,59
939,0,0,69
940,0,14,65
941,0,8,20
942,0,12,86
943,0,32,4
944,0,13,29
945,0,0,64
946,0,0,18
947,0,0,8
948,1,0,78
949,0,0,39
950,0,0,20
951,0,0,50
952,0,5,41
953,0,0,37
954,0,0,56
955,0,18,14
956,0,0,74
957,1,7,20
958,0,5,40
959,0,6,70
960,0,4,1
961,0,1,12
962,1,12,42
963,0,0,25
964,0,11,15
965,0,0,65
966,0,0,25
967,0,12,63
968,0,3,68
969,0,3,84
970,0,14,67
971,1,22,39
972,0,0,78
973,0,8,10
974,0,2,69
975,0,6,22
976,0,1,22
977,0,0,1
978,0,34,46
979,0,4,67
980,0,1,53
981,0,0,74
982,0,16,59
983,0,2,68
984,0,0,1
985,0,38,9
986,1,2,70
987,0,39,45
988,0,43,34
989,0,0,59
990,0,0,65
991,0,1,65
992,0,0,54
993,0,7,63
994,0,55,16
995,0,0,67
996,0,35,3
997,0,0,3
998,0,42,2
999,0,72,0
1000,0,13,0
1001,0,2,0
1002,1,65,1
1003,2,0,0
1004,0,64,10
1005,0,22,4
1006,0,0,6
1007,0,73,0
1008,0,0,1
1009,0,0,1
1010,0,0,21
1011,0,0,17
1012,0,20,0
1013,0,80,1
1014,0,0,13
1015,0,0,15
1016,0,0,8
1017,0,64,11
1018,0,78,0
1019,0,65,10
1020,1,8,15
1021,0,61,0
1022,0,8,4
1023,0,75,0
1024,0,14,65
1025,0,0,2
1026,0,1,20
1027,0,0,8
1028,0,0,8
1029,0,1,7
1030,0,12,0
1031,0,1,9
1032,0,0,18
1033,1,90,8
1034,0,18,0
1035,0,0,40
1036,1,0,18
1037,0,53,0
1038,0,96,0
1039,0,22,2
1040,0,90,3
1041,1,85,0
1042,0,97,1
1043,0,74,15
1044,0,45,0
1045,0,99,0
1046,0,48,4
1047,0,10,3
1048,0,51,0
1049,0,47,0
1050,0,0,16
1051,0,0,30
1052,0,0,21
1053,0,25,5
1054,0,0,38
1055,0,90,0
1056,0,94,0
1057,0,47,1
1058,0,31,17
1059,0,0,1
1060,1,68,0
1061,0,99,0
1062,0,79,0
1063,0,29,4
1064,0,96,0
1065,1,97,0
1066,0,33,0
1067,0,95,0
1068,0,100,0
1069,1,97,0
1070,0,58,0
1071,0,94,0
1072,0,85,0
1073,0,95,5
1074,0,87,0
1075,0,35,0
1076,1,16,0
1077,0,8,1
1078,0,42,0
1079,0,2,6
1080,0,0,15
1081,0,0,28
1082,0,64,1
1083,0,0,26
1084,0,0,1
1085,0,36,7
1086,0,0,36
1087,0,89,4
1088,1,66,4
1089,0,8,2
1090,0,3,0
1091,0,57,0
1092,0,46,0
1093,0,61,0
1094,1,50,18
1095,1,60,1
1096,0,65,0
1097,0,90,0
1098,1,27,1
1099,0,6,0
1100,0,6,0
1101,0,33,0
1102,0,53,0
1103,0,82,0
