,C,R50,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR
278,99,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
279,88,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0
280,13,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0
281,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
282,99,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
283,53,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
284,3,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
285,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
286,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
287,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
288,5,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
289,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
290,76,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0
291,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
292,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
293,1,54,0,0,0,0,0,0,0,1,1,0,1,1,0,0
294,47,7,0,0,0,0,0,0,0,1,1,0,1,1,0,0
295,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
296,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
297,62,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
298,69,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
299,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
300,23,77,0,0,0,0,0,0,0,1,1,0,1,1,0,0
301,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1
302,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
303,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
304,23,76,0,0,0,0,0,0,0,1,1,0,1,1,0,0
305,24,25,0,0,0,0,0,0,0,1,1,0,1,1,0,0
306,39,33,0,0,0,0,0,0,0,1,1,0,1,1,0,0
307,65,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
308,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
309,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
310,69,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
311,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
312,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
313,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
314,35,62,0,0,0,0,0,0,0,1,1,0,1,1,0,0
315,93,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0
316,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
317,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
318,62,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
319,99,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
320,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
321,99,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
322,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
323,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
324,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
325,0,31,0,1,0,0,0,0,0,1,1,0,1,1,0,0
326,2,16,0,1,0,0,0,0,0,1,1,0,1,1,0,0
327,0,23,0,1,0,0,0,0,0,1,1,0,1,1,0,0
328,57,14,0,0,0,0,0,0,0,1,1,0,1,1,0,0
329,2,58,0,0,0,0,0,0,0,1,1,0,1,1,0,0
330,13,17,0,0,0,0,0,0,0,0,0,0,1,1,0,1
331,42,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1
332,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
333,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
334,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
335,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
336,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
337,38,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0
338,30,41,0,0,0,0,0,0,0,1,1,0,1,1,0,0
339,91,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
340,65,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
341,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
342,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
343,65,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0
344,99,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
345,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
346,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
347,65,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
348,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
349,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
350,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
351,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
352,99,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
353,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
354,1,20,0,1,0,0,0,0,0,1,1,0,0,0,0,0
355,0,17,0,1,0,0,0,0,0,1,1,0,0,0,0,0
356,1,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0
357,0,50,0,0,0,0,0,0,0,1,1,0,1,1,0,0
358,0,23,0,1,0,0,0,0,0,1,1,0,0,0,0,0
359,0,33,0,1,0,0,0,0,0,1,1,0,0,0,0,0
360,1,45,0,0,0,0,0,0,0,1,1,0,0,0,0,0
361,36,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0
362,48,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
363,65,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
364,94,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0
365,73,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0
366,0,30,0,1,0,0,0,0,0,1,1,0,0,0,0,0
367,2,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0
368,95,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0
369,29,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0
370,54,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
371,31,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0
372,49,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0
373,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
374,98,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
375,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
376,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
377,0,44,0,1,0,0,0,0,0,1,1,0,0,0,0,0
378,0,34,0,1,0,0,0,0,0,1,1,0,0,0,0,0
379,3,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0
380,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
381,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
382,94,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0
383,1,37,0,0,0,0,0,0,0,1,1,0,0,0,0,0
384,18,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0
385,70,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
386,61,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
387,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
388,70,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0
389,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
390,55,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
391,4,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
392,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
393,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
394,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
395,94,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
396,14,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
397,67,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0
398,29,25,0,0,0,0,0,0,0,1,1,0,0,0,0,0
399,53,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
400,13,64,0,0,0,0,0,0,0,0,0,0,1,1,0,0
401,28,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0
402,36,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
403,15,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0
404,19,13,0,0,0,0,0,0,0,1,1,0,1,1,0,0
405,3,34,0,0,0,0,0,0,0,1,1,0,1,1,0,0
